@relation 'sms_spam-weka.filters.unsupervised.attribute.StringToWordVector-R-PstwAttribute_-W2000-prune-rate-1.0-C-N0-L-stemmerweka.core.stemmers.NullStemmer-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"'

@attribute id numeric
@attribute text string
@attribute class {ham,spam}

@data
{1 'Ok i also wan 2 watch e 9 pm show...',2 ?}
{0 1,1 'Good night. Am going to sleep.',2 ?}
{0 2,1 'Lemme know when youre here',2 ?}
{0 3,1 'The last thing i ever wanted to do was hurt you. And i didnt think it would have. Youd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasnt even up. The fact that you even felt like i would do it to hurt you shows you really dont know me at all. It was messy wednesday, but it wasnt bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I dont mind a few things here and there, but when you dont make the bed, when you throw laundry on top of it, when i cant have a friend in the house because im embarassed that theres underwear and bras strewn on the bed, pillows on the floor, thats something else. You used to be good about at least making the bed.',2 ?}
{0 4,1 'Jesus christ bitch Im trying to give you drugs answer your fucking phone',2 ?}
{0 5,1 'My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...',2 ?}
{0 6,1 'Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123',2 ?}
{0 7,1 'Im watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?',2 ?}
{0 8,1 'Can you plz tell me the ans. BSLVYL sent via fullonsms.com',2 ?}
{0 9,1 'what is your account number?',2 ?}
{0 10,1 'Boooo you always work. Just quit.',2 ?}
{0 11,1 'But i haf enuff space got like 4 mb...',2 ?}
{0 12,1 'Sorry, Ill call later',2 ?}
{0 13,1 'Im not sure if its still available though',2 ?}
{0 14,1 'My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar',2 ?}
{0 15,1 'Gud gud..k, chikku tke care.. sleep well gud nyt',2 ?}
{0 16,1 'I think the other two still need to get cash but we can def be ready by 9',2 ?}
{0 17,1 'Usf I guess, might as well take 1 car',2 ?}
{0 18,1 'We can go 4 e normal pilates after our intro...  ',2 ?}
{0 19,1 'Change windows logoff sound..',2 ?}
{0 20,1 'Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!',2 ?}
{0 21,1 'aathi..where are you dear..',2 ?}
{0 22,1 'In meeting da. I will call you',2 ?}
{0 23,1 'Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.',2 ?}
{0 24,1 'I am on the way to ur home',2 ?}
{0 25,1 'You still around? I could use a half-8th',2 ?}
{0 26,1 'Im done. Im sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If im not around when you move it, just lock all the locks and leave the key with jenne.',2 ?}
{0 27,1 'Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv',2 ?}
{0 28,1 'i see. When we finish we have loads of loans to pay',2 ?}
{0 29,1 'Probably not, still going over some stuff here',2 ?}
{0 30,1 'I had askd u a question some hours before. Its answer',2 ?}
{0 31,1 'Haha get used to driving to usf man, I know a lot of stoners',2 ?}
{0 32,1 'Havent shopping now lor i juz arrive only',2 ?}
{0 33,1 'He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! ',2 ?}
{0 34,1 'Hows my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesnt he ache to speak to me ? Miss me desparately ?',2 ?}
{0 35,1 'Good morning pookie pie! Lol hope I didnt wake u up',2 ?}
