@relation sms_spam

@attribute id NUMERIC
@attribute text string
@attribute class {ham,spam}

@data

0,'Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)',ham	
1,'Fine am simply sitting.',ham	
2,'U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.',ham	
3,'	Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub',spam
4,'I have many dependents',ham	
5,'Okie...',ham	
6,'aight we can pick some up, you open before tonight?',ham	
7,'Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?',ham	
8,'	UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&Cs apply. Opt-out available',spam
9,'Don know. I didt msg him recently.',ham	
10,'Where is that one day training:-)',ham	
11,'Wat r u doing?',ham	
12,'Wot u up 2 u weirdo?',ham	
13,'	U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901',spam
14,'Then we gotta do it after that',ham	
15,'Aight text me when youre back at mu and Ill swing by, need somebody to get the door for me',ham	
16,'I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob',ham	
17,'Im on da bus going home...',ham	
18,'What time you coming down later? ',ham	
19,'A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND',ham	
20,'Well if Im that desperate Ill just call armand again',ham	
21,'Oh wow thats gay. Will firmware update help',ham	
22,'Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...',ham	
23,'We not watching movie already. Xy wants 2 shop so im shopping w her now.',ham	
24,'	Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50',spam
25,'	You wont believe it but its true. Its Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt',spam
26,'	Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ',spam
27,'No problem with the renewal. I.ll do it right away but i dont know his details.',ham	
28,'	Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ',spam
29,'Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....',ham	
30,'	Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP',spam
31,'	FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)',spam
32,'Ok i msg u b4 i leave my house.',ham	
