@relation sms_spam

@attribute id NUMERIC
@attribute text string
@attribute class {ham,spam}

@data

0,'Ok i also wan 2 watch e 9 pm show...',?
1,'Good night. Am going to sleep.',?
2,'Lemme know when youre here',?
3,'The last thing i ever wanted to do was hurt you. And i didnt think it would have. Youd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasnt even up. The fact that you even felt like i would do it to hurt you shows you really dont know me at all. It was messy wednesday, but it wasnt bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I dont mind a few things here and there, but when you dont make the bed, when you throw laundry on top of it, when i cant have a friend in the house because im embarassed that theres underwear and bras strewn on the bed, pillows on the floor, thats something else. You used to be good about at least making the bed.',?
4,'Jesus christ bitch Im trying to give you drugs answer your fucking phone',?
5,'My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...',?
6,'Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123',?
7,'Im watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?',?
8,'Can you plz tell me the ans. BSLVYL sent via fullonsms.com',?
9,'what is your account number?',?
10,'Boooo you always work. Just quit.',?
11,'But i haf enuff space got like 4 mb...',?
12,'Sorry, Ill call later',?
13,'Im not sure if its still available though',?
14,'My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar',?
15,'Gud gud..k, chikku tke care.. sleep well gud nyt',?
16,'I think the other two still need to get cash but we can def be ready by 9',?
17,'Usf I guess, might as well take 1 car',?
18,'We can go 4 e normal pilates after our intro...  ',?
19,'Change windows logoff sound..',?
20,'Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!',?
21,'aathi..where are you dear..',?
22,'In meeting da. I will call you',?
23,'Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.',?
24,'I am on the way to ur home',?
25,'You still around? I could use a half-8th',?
26,'Im done. Im sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If im not around when you move it, just lock all the locks and leave the key with jenne.',?
27,'Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv',?
28,'i see. When we finish we have loads of loans to pay',?
29,'Probably not, still going over some stuff here',?
30,'I had askd u a question some hours before. Its answer',?
31,'Haha get used to driving to usf man, I know a lot of stoners',?
32,'Havent shopping now lor i juz arrive only',?
33,'He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! ',?
34,'Hows my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesnt he ache to speak to me ? Miss me desparately ?',?
35,'Good morning pookie pie! Lol hope I didnt wake u up',?
36,'Pls call me da. What happen.',?
37,'Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am',?
38,'1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)',?
39,'Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow',?
40,'Hey tmr maybe can meet you at yck',?
41,'Oh great. I.ll disturb him more so that we can talk.',?
42,'Miss ya, need ya, want ya, love ya.',?
43,'Yes obviously, but you are the eggs-pert and the potato head… Speak soon! ',?
44,'Pls whats the full name of jokes school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back',?
45,'Tell them u have a headache and just want to use 1 hour of sick time.',?
46,'Alright took the morphine. Back in yo.',?
47,'Oh ho. Is this the first time u use these type of words',?
48,'For your chance to WIN a FREE Bluetooth Headset then simply reply back with "ADP"',?
