@relation sms_spam

@attribute id NUMERIC
@attribute text string
@attribute class {ham,spam}

@data

0,'	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com',spam
1,'Captain is in our room:)',ham	
2,'I dont. Can you send it to me. Plus hows mode.',ham	
3,'K. I will sent it again',ham	
4,'	Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX',spam
5,'Goin to workout lor... Muz lose e fats... ',ham	
6,'Even i cant close my eyes you are in me our vava playing umma :-D',ham	
7,'My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... .....  NAKED...!',ham	
8,'Probably a couple hours tops',ham	
9,'One of best dialogue in cute reltnship..!! "Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8',ham	
10,'say thanks2. ',ham	
11,'	Win a £1000 cash prize or a prize worth £5000',spam
12,'Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)',ham	
13,'Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.',ham	
14,'Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ',ham	
15,'Nope i waiting in sch 4 daddy... ',ham	
16,'I call you later, dont have network. If urgnt, sms me.',ham	
17,'Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...',ham	
18,'Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)',ham	
19,'Gd luck 4 ur exams :-)',ham	
20,'Thanks. It was only from tescos but quite nice. All gone now. Speak soon ',ham	
21,'Dude how do you like the buff wind.',ham	
22,'Its ok chikku, and its my 1 of favourite song..:-)',ham	
23,'I plane to give on this month end.',ham	
24,'Did you show him and wot did he say or could u not c him 4 dust?',ham	
25,'When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...',ham	
26,'I wont get concentration dear you know you are my mind and everything :-)',ham	
27,'	Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!',spam
28,'Mm not entirely sure i understood that text but hey. Ho. Which weekend?',ham	
29,'Dude. Whats up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot yould like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.',ham	
30,'The wine is flowing and im i have nevering..',ham	
31,'Hope you are having a great day.',ham	
32,'Hey check it da. I have listed da.',ham	
33,'Haha, just what I was thinkin',ham	
34,'Am in gobi arts college',ham	
35,'Yo, you gonna still be in stock tomorrow/today? Im trying to get a dubsack',ham	
36,'Im working technical support :)voice process.',ham	
37,'	URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm',spam
38,'Oh, then your phone phoned me but it disconnected',ham	
39,'Hey babe, sorry i didnt get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesnt go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I dont know if it might be cheaper to find someone there ? We dont have any second hand machines at all right now, let me know what you want to do babe',ham	
40,'I am waiting for your call sir.',ham	
41,'Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of terrorist to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.',ham	
42,'Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?',ham	
43,'	You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ',spam
44,'Yep then is fine 7.30 or 8.30 for ice age.',ham	
45,':) ',ham	
46,'Its going good...no problem..but still need little experience to understand american customer voice...',ham	
47,';-) ok. I feel like john lennon.',ham	
48,'Lol they dont know about my awesome phone. I could click delete right now if I want.',ham	
49,'The tables occupied, Im waiting by the tree',ham	
50,'Did you see that film:)',ham	
51,'He has lots of used ones babe, but the model doesnt help. Youi have to bring it over and hell match it up',ham	
52,'I will come tomorrow di',ham	
53,'i cant talk to you now.i will call when i can.dont keep calling.',ham	
54,'Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.',ham	
55,'that would be good … Ill phone you tomo lunchtime, shall I, to organise something?',ham	
56,'Hi hope u r both ok, he said he would text and he hasnt, have u seen him, let me down gently please ',ham	
57,'Hui xin is in da lib.',ham	
58,'I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.',ham	
59,'Have you been practising your curtsey?',ham	
60,'Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.',ham	
61,'When you get free, call me',ham	
62,'If You mean the website. Yes.',ham	
63,'	Dont b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324',spam
64,'Ive got it down to a tea. not sure which flavour',ham	
65,'Yes, princess. Are you going to make me moan?',ham	
66,'Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!',ham	
67,'I went to ur hon lab but no one is there.',ham	
68,'Come by our room at some point so we can iron out the plan for this weekend',ham	
69,'Helloooo... Wake up..! "Sweet" "morning" "welcomes" "You" "Enjoy" "This Day" "with full of joy".. "GUD MRNG".',ham	
70,'Yup im free...',ham	
71,'Im in office now da:)where are you?',ham	
72,'	accordingly. I repeat, just text the word ok on your mobile phone and send',spam
73,'	EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+',spam
74,'Pick you up bout 7.30ish? What time are  and that going?',ham	
75,'Do you mind if I ask what happened? You dont have to say if it is uncomfortable.',ham	
76,'Then ur physics get a-?',ham	
77,'	Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins',spam
78,'My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... .....  NAKED...!',ham	
79,'Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu',ham	
80,'Of course. I guess gods just got me on hold right now.',ham	
81,'Meeting u is my work. . . Tel me when shall i do my work tomorrow',ham	
82,'Yes baby! We can study all the positions of the kama sutra ;)',ham	
83,'I am in your office na.',ham	
84,'Lara said she can loan me  &lt;#&gt; .',ham	
85,'Thanks. Fills me with complete calm and reassurance! ',ham	
86,'	Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow',spam
87,'Hope you are feeling great. Pls fill me in. Abiola',ham	
88,'Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.',ham	
89,'Aight sorry I take ten years to shower. Whats the plan?',ham	
90,'That seems unnecessarily hostile',ham	
91,'Are you available for soiree on June 3rd?',ham	
92,'Yes. I come to nyc for audiitions and am trying to relocate.',ham	
93,'Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that " &lt;#&gt;  lac crore" of Indian money is deposited in swiss banks which can be used for taxless budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m."',ham	
